    target  count  region      srcs
 0x201471c     4  decomp      0x20307b0, 0x20307c0, 0x20307f8, 0x2030804
 0x2014734     1  decomp      0x203c5f4
 0x201476c    14  decomp      0x2014bd8, 0x201b5b4, 0x201b5c8, 0x201b5d8, 0x201b5e8, 0x201b5fc
 0x2014824     7  decomp      0x201aa1c, 0x201aa98, 0x201ab2c, 0x201ab64, 0x201b0c8, 0x201bb7c
 0x2014830    20  decomp      0x201e104, 0x201e118, 0x201e130, 0x201e1c0, 0x201e1d4, 0x201e1ec
 0x201483c     2  decomp      0x201e3bc, 0x202f058
 0x2014844     3  decomp      0x201e3c8, 0x202f004, 0x202f06c
 0x201484c     3  decomp      0x2014c20, 0x2021810, 0x2021834
 0x2014888    11  decomp      0x201e3d8, 0x201e3e8, 0x201e404, 0x201e418, 0x201e428, 0x2030224
 0x201489c     4  decomp      0x201a3bc, 0x2021498, 0x2030140, 0x2036ee4
 0x20148a8     8  decomp      0x2014760, 0x2021860, 0x2021894, 0x202ec44, 0x2030c2c, 0x20369c0
 0x20148b8    42  decomp      0x2014c28, 0x2018eb0, 0x2019004, 0x2019210, 0x201a384, 0x201ab4c
 0x20148c8     2  decomp      0x2021328, 0x20214d0
 0x20148e8     1  decomp      0x20148e0
 0x2014a20     1  decomp      0x20148d8
 0x2014b50     1  decomp      0x20148d0
 0x2014bbc    18  decomp      0x201e0a8, 0x201e0c4, 0x201e0e4, 0x201e164, 0x201e180, 0x201e1a0
 0x2014be8    13  decomp      0x2014bc8, 0x2021dd8, 0x2021dec, 0x202f048, 0x2032c04, 0x2032c14
 0x2014c3c    22  decomp      0x201ded4, 0x201deec, 0x201defc, 0x201df08, 0x201df14, 0x201df24
 0x2014c74    39  decomp      0x2014750, 0x2014c14, 0x2014c68, 0x201aa58, 0x201aae0, 0x201b550
 0x2014d40     1  decomp      0x2014bf4
 0x2014dfc     3  decomp      0x2032a18, 0x2032a20, 0x203f7dc
 0x2014e54     7  decomp      0x2021dc4, 0x2032be8, 0x2032bf8, 0x2034b98, 0x2034f38, 0x203f728
 0x2014e64     1  decomp      0x201e080
 0x2015030     5  decomp      0x2016424, 0x20167b8, 0x2016824, 0x2017b38, 0x2023844
 0x2015064     1  decomp      0x2014fe0
