start	end	size	refs
0x0200AA6C	0x0201A214	63400	0
0x0200AD0C	0x0201A214	62728	1
0x0200AF8C	0x0201A214	62088	0
0x0200AFCC	0x0201A214	62024	0
0x0200B008	0x0201A214	61964	1
0x0200B020	0x0201A214	61940	1
0x0200B150	0x0201A214	61636	1
0x0200B3C0	0x0201A214	61012	1
0x0200B3D0	0x0201A214	60996	1
0x0200B4E4	0x0201A214	60720	1
0x0200B62C	0x0201A214	60392	1
0x0200B6D8	0x0201A214	60220	1
0x0200B768	0x0201A214	60076	0
0x0200BA28	0x0201A214	59372	1
0x0200BA40	0x0201BA40	65536	1
0x0200BA58	0x0201BA58	65536	2
0x0200BA70	0x0201BA70	65536	2
0x0200BA88	0x0201BA88	65536	2
0x0200BAB8	0x0201BAB8	65536	0
0x0200BB04	0x0201BAB8	65460	0
0x0200BB4C	0x0201BAB8	65388	0
0x0200BB60	0x0201BAB8	65368	2
0x0200BB7C	0x0201BAB8	65340	6
0x0200BB9C	0x0201BAB8	65308	2
0x0200BC8C	0x0201BAB8	65068	1
0x0200BECC	0x0201BAB8	64492	6
0x0200BEFC	0x0201BAB8	64444	2
0x0200BF74	0x0201BAB8	64324	3
0x0200BFB0	0x0201BAB8	64264	1
0x0200C060	0x0201BAB8	64088	3
0x0200C09C	0x0201BAB8	64028	1
0x0200C12C	0x0201BAB8	63884	3
0x0200C168	0x0201BAB8	63824	3
0x0200C1D0	0x0201BAB8	63720	1
0x0200C20C	0x0201BAB8	63660	1
0x0200C284	0x0201C284	65536	3
0x0200C2F8	0x0201C2F8	65536	1
0x0200C3B0	0x0201C3B0	65536	0
0x0200C49C	0x0201C49C	65536	1
0x0200C560	0x0201C51C	65468	1
0x0200C5B4	0x0201C51C	65384	0
0x0200C5BC	0x0201C51C	65376	4
0x0200C5FC	0x0201C51C	65312	3
0x0200C64C	0x0201C51C	65232	1
0x0200C664	0x0201C51C	65208	0
0x0200C6F8	0x0201C51C	65060	0
0x0200CC78	0x0201C51C	63652	1
0x0200CCBC	0x0201C51C	63584	1
0x0200CD38	0x0201C51C	63460	2
0x0200CDC0	0x0201C51C	63324	0
